,gross_return,turnover,transaction_cost,net_returns,n_longs,n_shorts
2015-08-25,0.00787753633906316,0.5,0.00075,0.007127536339063161,1,2
2015-08-26,0.01956425427434269,0.5,0.00075,0.01881425427434269,2,0
2015-08-27,-0.0023516337433967622,0.5,0.00075,-0.003101633743396762,1,1
2015-08-28,-0.0028278620572836127,0.25,0.000375,-0.0032028620572836126,1,0
2015-08-31,0.008006604383310911,0.75,0.0011250000000000001,0.006881604383310911,1,2
2015-09-01,0.007467975643216957,0.25,0.000375,0.007092975643216957,1,1
2015-09-02,0.010267928850150026,0.0,0.0,0.010267928850150026,1,1
2015-09-03,-0.003665497729301601,0.0,0.0,-0.003665497729301601,1,1
2015-09-04,0.002678876876161059,0.25,0.000375,0.002303876876161059,0,1
2015-09-08,0.0,0.25,0.000375,-0.000375,0,0
2015-09-09,0.0,0.0,0.0,0.0,0,0
2015-09-10,0.0,0.0,0.0,0.0,0,0
2015-09-11,0.0,0.0,0.0,0.0,0,0
2015-09-14,0.0,0.0,0.0,0.0,0,0
2015-09-15,-0.006990450728041566,0.5,0.00075,-0.007740450728041566,1,1
2015-09-16,-0.00383960351405056,0.25,0.000375,-0.00421460351405056,1,0
2015-09-17,0.003525937846033414,0.0,0.0,0.003525937846033414,1,0
2015-09-18,0.0,0.25,0.000375,-0.000375,0,0
2015-09-21,0.0,0.0,0.0,0.0,0,0
2015-09-22,0.012001885861025885,0.5,0.00075,0.011251885861025884,1,1
2015-09-23,-0.003659712622994085,0.0,0.0,-0.003659712622994085,1,1
2015-09-24,0.0025143518034089632,0.0,0.0,0.0025143518034089632,1,1
2015-09-25,0.0,0.5,0.00075,-0.00075,0,0
2015-09-28,0.0,0.0,0.0,0.0,0,0
2015-09-29,0.0,0.0,0.0,0.0,0,0
2015-09-30,0.0,0.0,0.0,0.0,0,0
2015-10-01,0.0,0.0,0.0,0.0,0,0
2015-10-02,0.0,0.0,0.0,0.0,0,0
2015-10-05,0.0,0.0,0.0,0.0,0,0
2015-10-06,0.020317811613975112,0.25,0.000375,0.01994281161397511,0,1
2015-10-07,-0.00031338245717752074,0.25,0.000375,-0.0006883824571775207,1,1
2015-10-08,-0.0013840337838554287,0.25,0.000375,-0.0017590337838554286,1,0
2015-10-09,0.0010549063311355066,0.0,0.0,0.0010549063311355066,1,0
2015-10-12,0.013450260320715246,0.0,0.0,0.013450260320715246,1,0
2015-10-13,0.0,0.25,0.000375,-0.000375,0,0
2015-10-14,-0.008763222232539723,0.25,0.000375,-0.009138222232539723,1,0
2015-10-15,0.0012320225402389748,0.0,0.0,0.0012320225402389748,1,0
2015-10-16,-0.00577561665243467,0.0,0.0,-0.00577561665243467,1,0
2015-10-19,0.0,0.25,0.000375,-0.000375,0,0
2015-10-20,0.0,0.0,0.0,0.0,0,0
2015-10-21,0.0,0.0,0.0,0.0,0,0
2015-10-22,0.0,0.0,0.0,0.0,0,0
2015-10-23,-0.01636823338091082,0.5,0.00075,-0.01711823338091082,1,1
2015-10-26,0.002856303625437576,0.3333333333333333,0.0005,0.002356303625437576,1,3
2015-10-27,0.008280575371346827,0.41666666666666663,0.0006249999999999999,0.007655575371346827,0,3
2015-10-28,0.01802475564840634,0.3333333333333333,0.0005,0.01752475564840634,0,1
