,0
2015-04-01,0.0
2015-04-02,0.0
2015-04-06,0.0
2015-04-07,0.0
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,0.0
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,0.0
2015-04-16,0.004729703604147051
2015-04-17,-0.000375
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0028591445256943996
2015-04-23,-0.000375
2015-04-24,-0.010731783409099903
2015-04-27,-0.00075
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,-0.00542290822814323
2015-05-01,-0.000375
2015-05-04,0.008745016364421414
2015-05-05,0.015786010695613605
2015-05-06,-0.004299491154861283
2015-05-07,-0.0147033783584148
2015-05-08,-0.000375
2015-05-11,0.0
2015-05-12,0.0
2015-05-13,0.0
2015-05-14,-0.006958289305741292
2015-05-15,-0.000375
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,-0.0018629117054667485
2015-05-22,-0.000375
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,0.0
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,0.002529144969268355
2015-06-04,-0.008272698818352894
2015-06-05,-0.000375
2015-06-08,0.0
2015-06-09,0.011272788505604134
2015-06-10,0.006163287876746859
2015-06-11,-0.00075
2015-06-12,0.0
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,0.0
2015-06-18,0.0
2015-06-19,-0.00550570829472361
2015-06-22,-0.000375
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-26,0.0
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,0.0
2015-07-02,0.0
2015-07-06,0.0
2015-07-07,-0.004628011033118695
2015-07-08,0.013909248120788583
2015-07-09,-0.000375
2015-07-10,0.0
2015-07-13,-0.010977650055770866
2015-07-14,-0.0033321885315165663
2015-07-15,-0.00376510985175342
2015-07-16,-0.00542629990792204
2015-07-17,-0.005256691360292828
2015-07-20,0.009547643470303737
2015-07-21,-0.00631067255708074
2015-07-22,-0.000375
2015-07-23,0.0
2015-07-24,0.02204396634453879
2015-07-27,-0.007200156060061875
2015-07-28,0.009530496466591647
2015-07-29,-0.000375
2015-07-30,0.0
2015-07-31,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-10,0.0
2015-08-11,0.0
2015-08-12,0.0
2015-08-13,0.0
2015-08-14,0.0
2015-08-17,0.0
2015-08-18,-0.006982307833240712
2015-08-19,-0.002964791400513052
2015-08-20,-0.000375
2015-08-21,0.0
2015-08-24,0.02532417943988372
2015-08-25,0.007127536339063161
2015-08-26,0.01881425427434269
2015-08-27,-0.003101633743396762
2015-08-28,-0.0032028620572836126
2015-08-31,0.006881604383310911
2015-09-01,0.007092975643216957
2015-09-02,0.010267928850150026
2015-09-03,-0.003665497729301601
2015-09-04,0.002303876876161059
2015-09-08,-0.000375
2015-09-09,0.0
2015-09-10,0.0
2015-09-11,0.0
2015-09-14,0.0
2015-09-15,-0.007740450728041566
2015-09-16,-0.00421460351405056
2015-09-17,0.003525937846033414
2015-09-18,-0.000375
2015-09-21,0.0
2015-09-22,0.011251885861025884
2015-09-23,-0.003659712622994085
2015-09-24,0.0025143518034089632
2015-09-25,-0.00075
2015-09-28,0.0
2015-09-29,0.0
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,0.0
2015-10-05,0.0
2015-10-06,0.01994281161397511
2015-10-07,-0.0006883824571775207
2015-10-08,-0.0017590337838554286
2015-10-09,0.0010549063311355066
2015-10-12,0.013450260320715246
2015-10-13,-0.000375
2015-10-14,-0.009138222232539723
2015-10-15,0.0012320225402389748
2015-10-16,-0.00577561665243467
2015-10-19,-0.000375
2015-10-20,0.0
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,-0.01711823338091082
2015-10-26,0.002356303625437576
2015-10-27,0.007655575371346827
2015-10-28,0.01752475564840634
2015-10-29,-0.000375
2015-10-30,0.0
2015-11-02,0.0
2015-11-03,0.0
2015-11-04,0.0
2015-11-05,0.0
2015-11-06,0.0
2015-11-09,0.0
2015-11-10,0.0
2015-11-11,0.0
2015-11-12,0.0
2015-11-13,0.0
2015-11-16,0.0
2015-11-17,0.0
2015-11-18,0.0
2015-11-19,0.0
2015-11-20,0.0
2015-11-23,0.0
2015-11-24,0.0
2015-11-25,0.000582106854082157
2015-11-27,-0.0033764965625938713
2015-11-30,-0.004890280881056315
2015-12-01,0.011831510546950821
2015-12-02,0.0008261777819502569
2015-12-03,-0.00075
2015-12-04,0.0
2015-12-07,0.0
2015-12-08,-0.03239282660278819
2015-12-09,0.0017117887449773978
2015-12-10,-0.009995889800333882
2015-12-11,0.021268018673166682
2015-12-14,-0.005955434421189589
2015-12-15,-0.009947902531785163
2015-12-16,-0.009393142888900358
2015-12-17,-0.000375
2015-12-18,0.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,0.0
2015-12-28,0.0
2015-12-29,0.0
2015-12-30,0.0
2015-12-31,0.0
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.005023314170739891
2016-01-07,-0.002564978697029409
2016-01-08,0.011802903066707563
2016-01-11,-0.005150869249575092
2016-01-12,-0.009427385870437493
2016-01-13,-0.005064254489348364
2016-01-14,-0.008365862861082644
2016-01-15,0.0001454787361943246
2016-01-19,0.005411159754277687
2016-01-20,-0.008717919031825396
2016-01-21,-0.024631938613534327
2016-01-22,0.012103660106632826
2016-01-25,0.006904948194074308
2016-01-26,-0.009184073478704716
2016-01-27,-0.005055863061394954
2016-01-28,0.01705557044156001
2016-01-29,-0.02299375574501565
2016-02-01,-0.005970853687967711
2016-02-02,0.025291298318315482
2016-02-03,-0.000375
2016-02-04,0.0
2016-02-05,0.0
2016-02-08,0.0
2016-02-09,0.0
2016-02-10,0.0
2016-02-11,0.0
2016-02-12,0.0
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,0.0
2016-02-22,0.0
2016-02-23,0.0
2016-02-24,0.0
2016-02-25,0.0
2016-02-26,0.0
2016-02-29,0.0
2016-03-01,0.0
2016-03-02,0.0
2016-03-03,0.0
2016-03-04,0.0
2016-03-07,0.0
2016-03-08,0.01603185673442214
2016-03-09,-0.010063829733553072
2016-03-10,-0.00013465536756211843
2016-03-11,-0.000375
2016-03-14,0.0
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,0.0
2016-03-21,0.0
2016-03-22,0.0
2016-03-23,0.0
2016-03-24,0.0
2016-03-28,0.0
2016-03-29,0.0
2016-03-30,0.0
2016-03-31,-0.0007092322603179734
2016-04-01,0.026940804437717084
2016-04-04,-0.0010310286948092611
2016-04-05,-0.002950253999043609
2016-04-06,-0.002664093312925224
2016-04-07,-0.013990473191916004
2016-04-08,-0.00028102828575286354
2016-04-11,0.0006707175807280948
2016-04-12,0.004110995752032191
2016-04-13,-0.000375
2016-04-14,0.0
2016-04-15,0.00279264854033953
2016-04-18,-0.01085134341548462
2016-04-19,0.0034254634014078775
2016-04-20,-0.000375
2016-04-21,0.0
2016-04-22,0.0005610030754357218
2016-04-25,-0.011761156722516201
2016-04-26,-0.0009123708431369963
2016-04-27,0.00044568591594300035
2016-04-28,-0.011159050888121675
2016-04-29,-0.011092789874988537
2016-05-02,0.0007092458244827595
2016-05-03,-0.0008512391443392412
2016-05-04,-0.009390418433137338
2016-05-05,0.00028950623675319276
2016-05-06,-0.000375
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-16,0.0
2016-05-17,-0.00010214244927418692
2016-05-18,-0.001092272615213073
2016-05-19,-0.000375
2016-05-20,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,-0.0030005878785816604
2016-06-06,-0.008017129177834295
2016-06-07,-0.006701486303275267
2016-06-08,0.0024421577197147834
2016-06-09,0.0043530901738205695
2016-06-10,0.005046832036058358
2016-06-13,-0.00075
2016-06-14,0.0
