,gross_return,turnover,transaction_cost,net_return,n_longs,n_shorts,gross_exposure
2022-10-04,0.0,0.0,0.0,0.0,0,0,0.0
2022-10-05,0.0,0.0,0.0,0.0,0,0,0.0
2022-10-06,0.0,0.0,0.0,0.0,0,0,0.0
2022-10-07,0.0,0.0,0.0,0.0,0,0,0.0
2022-10-10,0.0005914044572888131,0.012495504388678004,1.2495504388678004e-05,0.000578908952900135,1,0,0.024991008777356008
2022-10-11,-0.00042432869348938383,0.0017385752072474649,1.7385752072474648e-06,-0.0004260672686966313,1,0,0.02151385836286108
2022-10-12,0.00038136218829857833,0.01075692918143054,1.0756929181430539e-05,0.0003706052591171478,2,0,0.012434069705880506
2022-10-13,2.886068584419069e-05,0.00468180570159709,4.6818057015970905e-06,2.4178880142593597e-05,2,0,0.0030704583026863273
2022-10-14,-7.157027233459226e-05,0.0014907833051673726,1.4907833051673725e-06,-7.306105563975963e-05,2,0,0.006052024913021072
2022-10-17,-0.0003545457253967169,0.02111173133300081,2.111173133300081e-05,-0.00037565745672971774,2,1,0.04827548757902269
2022-10-18,0.00011554019886547218,1.671189008994184e-05,1.671189008994184e-08,0.00011552348697538224,2,1,0.048242063798842806
2022-10-19,-0.00038566166057709105,0.01200701995342775,1.200701995342775e-05,-0.0003976686805305188,2,1,0.07225610370569831
2022-10-20,-6.923495871910112e-05,0.030490630922725047,3.0490630922725046e-05,-9.972558964182617e-05,2,1,0.09710931369829925
2022-10-21,-0.0002870742801834187,0.04855465684914963,4.8554656849149626e-05,-0.0003356289370325683,2,2,0.09212755198650796
2022-10-24,0.001919895012151538,0.015077923768086213,1.5077923768086213e-05,0.0019048170883834519,2,2,0.12228339952268039
2022-10-25,-0.0009521752071569482,0.002772015253272919,2.772015253272919e-06,-0.000954947222410221,2,2,0.12782743002922622
2022-10-26,-0.00038773000602152353,0.03254889307231167,3.2548893072311674e-05,-0.0004202788990938352,2,2,0.12545928776920576
2022-10-27,0.0017958376842658525,0.04859209416029498,4.8592094160294984e-05,0.0017472455901055574,2,2,0.15991383220519284
2022-10-28,0.0008551130586566336,0.019839110709190297,1.9839110709190297e-05,0.0008352739479474433,2,2,0.19959205362357343
2022-10-31,0.002405466476592252,0.007054371484688182,7.054371484688182e-06,0.0023984121051075637,2,2,0.18548331065419707
2022-11-01,0.0013246121842407977,0.06,6e-05,0.0012646121842407978,2,3,0.24240038792599752
2022-11-02,0.0015455097627486004,0.04057799288144859,4.057799288144859e-05,0.0015049317698671517,2,2,0.2938976410899957
2022-11-03,0.0003047013235775216,0.06,6e-05,0.0002447013235775216,2,3,0.29429945780939853
2022-11-04,-0.0031728438295750777,0.02178576446559385,2.178576446559385e-05,-0.0031946295940406717,2,2,0.2618576744758245
2022-11-07,0.0003247784077411496,0.06,6e-05,0.0002647784077411496,3,2,0.2841431374070215
2022-11-08,0.0010958799580893528,0.07471337849895335,7.471337849895334e-05,0.0010211665795903993,2,2,0.1994891491502186
2022-11-09,-0.0008770277359629794,0.06856841225299255,6.856841225299255e-05,-0.000945596148215972,2,3,0.1850901831229334
2022-11-10,0.0006775097254254786,0.059045187503916206,5.904518750391621e-05,0.0006184645379215623,2,2,0.2720043958086491
2022-11-11,0.0014810017207270002,0.005371059781707294,5.3710597817072935e-06,0.001475630660945293,2,2,0.2612622762452345
2022-11-14,0.0026995517612180657,0.06,6e-05,0.0026395517612180655,3,3,0.28155763709463805
2022-11-15,0.0023028598730078327,0.05965062210389761,5.965062210389761e-05,0.002243209250903935,2,2,0.23474823131399544
2022-11-16,-0.004722202218933737,0.060000000000000005,6.000000000000001e-05,-0.004782202218933737,3,3,0.26826003262818876
2022-11-17,-0.0027474051406688664,0.15176570357551988,0.0001517657035755199,-0.002899170844244386,3,3,0.3411655022115732
2022-11-18,-0.0016997873954628403,0.17891192743128181,0.0001789119274312818,-0.0018786993228941222,2,3,0.32183388813244257
2022-11-21,-0.0026671474669137454,0.13874466694513637,0.00013874466694513638,-0.002805892133858882,1,2,0.3588836747251912
2022-11-22,-0.0038305237403623137,0.00552256537702181,5.52256537702181e-06,-0.0038360463057393354,1,2,0.35202777684574627
2022-11-23,0.0021570820715945543,0.060000000000000005,6.000000000000001e-05,0.002097082071594554,1,3,0.31019866519132655
2022-11-25,-0.0021001021031166814,0.19019293368999074,0.00019019293368999075,-0.002290295036806672,0,2,0.17971480541930587
2022-11-28,0.006238430205052134,0.0022948115039647813,2.2948115039647815e-06,0.006236135393548169,0,2,0.18375628144376066
2022-11-29,-0.0036983871773396343,0.014490836359647066,1.4490836359647066e-05,-0.0037128780136992815,0,2,0.18313848880831146
2022-11-30,-0.0031633819851218,0.06,6e-05,-0.0032233819851218,0,2,0.18148270214805162
2022-12-01,0.00021976909239468297,0.06829929792235084,6.829929792235084e-05,0.00015146979447233213,0,2,0.1784267946349234
2022-12-02,0.0011611837625861367,0.025075794691932,2.5075794691932e-05,0.0011361079678942046,0,2,0.18052254899200976
2022-12-05,0.005342810606871961,0.06,6e-05,0.00528281060687196,0,2,0.18927529027271217
2022-12-06,0.0011879231293105013,0.013614155559156155,1.3614155559156155e-05,0.0011743089737513452,0,2,0.19069272853402147
2022-12-07,0.0010445128811742482,0.06,6e-05,0.0009845128811742483,0,3,0.19140635619098678
2022-12-08,-0.0032574361570474586,0.03630671569977868,3.6306715699778685e-05,-0.0032937428727472374,0,2,0.19251926355868268
