,net_return
2022-10-04,0.0
2022-10-05,0.0
2022-10-06,0.0
2022-10-07,0.0
2022-10-10,0.000578908952900135
2022-10-11,-0.0004260672686966313
2022-10-12,0.0003706052591171478
2022-10-13,2.4178880142593597e-05
2022-10-14,-7.306105563975963e-05
2022-10-17,-0.00037565745672971774
2022-10-18,0.00011552348697538224
2022-10-19,-0.0003976686805305188
2022-10-20,-9.972558964182617e-05
2022-10-21,-0.0003356289370325683
2022-10-24,0.0019048170883834519
2022-10-25,-0.000954947222410221
2022-10-26,-0.0004202788990938352
2022-10-27,0.0017472455901055574
2022-10-28,0.0008352739479474433
2022-10-31,0.0023984121051075637
2022-11-01,0.0012646121842407978
2022-11-02,0.0015049317698671517
2022-11-03,0.0002447013235775216
2022-11-04,-0.0031946295940406717
2022-11-07,0.0002647784077411496
2022-11-08,0.0010211665795903993
2022-11-09,-0.000945596148215972
2022-11-10,0.0006184645379215623
2022-11-11,0.001475630660945293
2022-11-14,0.0026395517612180655
2022-11-15,0.002243209250903935
2022-11-16,-0.004782202218933737
2022-11-17,-0.002899170844244386
2022-11-18,-0.0018786993228941222
2022-11-21,-0.002805892133858882
2022-11-22,-0.0038360463057393354
2022-11-23,0.002097082071594554
2022-11-25,-0.002290295036806672
2022-11-28,0.006236135393548169
2022-11-29,-0.0037128780136992815
2022-11-30,-0.0032233819851218
2022-12-01,0.00015146979447233213
2022-12-02,0.0011361079678942046
2022-12-05,0.00528281060687196
2022-12-06,0.0011743089737513452
2022-12-07,0.0009845128811742483
2022-12-08,-0.0032937428727472374
2022-12-09,0.0002155749629082031
2022-12-12,0.003926802519553643
2022-12-13,-0.011958050479251003
2022-12-14,-0.0012038861218677738
2022-12-15,-0.0037487371795657536
2022-12-16,0.00414486692302694
2022-12-19,-0.004537035513055071
2022-12-20,0.005268822449326201
2022-12-21,0.0007252117618011688
2022-12-22,-0.0021793703586423384
2022-12-23,-0.00048608648821422783
2022-12-27,2.116000769501446e-05
2022-12-28,-0.0008522074041518371
2022-12-29,-0.0029871678255376523
2022-12-30,-0.0017855336829202284
2023-01-03,0.0072825009495182036
2023-01-04,-0.0006002389645102419
2023-01-05,0.0002848418438183599
2023-01-06,-0.0037069059461224004
2023-01-09,-2.4900327446813874e-05
2023-01-10,-0.0033964376304933593
2023-01-11,0.0036360779306334958
2023-01-12,-0.0005348648917467733
2023-01-13,0.0008543282537493834
2023-01-17,-0.00021913770681158102
2023-01-18,-0.007193799452425417
2023-01-19,-0.0011952757351949516
2023-01-20,0.0008302071916417995
2023-01-23,0.00037127158931080854
2023-01-24,0.0013385335594903794
2023-01-25,-0.002501040331307434
2023-01-26,-0.00047643611816869207
2023-01-27,-0.0001974051304274745
2023-01-30,-0.002954571144050824
2023-01-31,0.00048809813659104453
2023-02-01,0.006767932352228963
2023-02-02,-0.008080835202623066
2023-02-03,-0.0003960101538521588
2023-02-06,0.004564290911419759
2023-02-07,0.0035195847302773755
2023-02-08,-0.0019056713331418822
2023-02-09,-0.0027302130984746937
2023-02-10,-0.002757405942468207
2023-02-13,0.0025193177770316336
2023-02-14,0.0027638509505515606
2023-02-15,-0.00034524647367133974
2023-02-16,0.0029772468479798537
2023-02-17,0.002217899089053793
2023-02-21,-0.0024218571716246697
2023-02-22,-0.0007679007380568925
2023-02-23,-0.0027626123640228976
2023-02-24,0.0007066420569107555
2023-02-27,0.002473332603472039
2023-02-28,-0.0004923355754051005
2023-03-01,-0.000955774491598042
2023-03-02,-0.004932691864496042
2023-03-03,-0.0008160984302956634
2023-03-06,-0.0010787004325674098
2023-03-07,-0.0019406601378207447
2023-03-08,-0.00216752492878229
2023-03-09,-0.002502586965639353
2023-03-10,0.002168066463737218
2023-03-13,-0.001610134515778359
2023-03-14,0.0004349359498346042
2023-03-15,-4.409869607022096e-05
2023-03-16,0.000770556688224393
2023-03-17,-8.829497663957896e-05
2023-03-20,-0.0007898538601260117
2023-03-21,-0.00034494297804644764
2023-03-22,8.506246392623901e-05
2023-03-23,-0.0004595372260589007
2023-03-24,0.00047241073097914206
2023-03-27,-0.0008878666916089712
2023-03-28,-0.00024080553868055375
2023-03-29,-0.0038057120610347104
2023-03-30,-0.001195834665876355
2023-03-31,0.0009760201899470929
2023-04-03,0.002215372239809255
2023-04-04,0.0020424301318587843
2023-04-05,0.002238460743824057
2023-04-06,-0.0008430630124036909
2023-04-10,-0.0021697073002492685
2023-04-11,-0.0011457698200189352
2023-04-12,-3.7110324329022015e-05
2023-04-13,-0.0005752556039719913
2023-04-14,4.304262425903084e-05
2023-04-17,0.0007790725479823477
2023-04-18,0.00022473832108615171
2023-04-19,-0.0005313449345099606
2023-04-20,-0.001635366348958668
2023-04-21,-0.0015709472986676597
2023-04-24,-0.0014761553760094406
2023-04-25,0.0015412062329075633
2023-04-26,0.001495618525555322
2023-04-27,-0.003912043131540256
2023-04-28,-0.0008720211533555745
2023-05-01,0.003524858530972701
2023-05-02,0.0033122844248832137
2023-05-03,-0.0032386852800064658
2023-05-04,0.005796903596500523
2023-05-05,-0.0020067744852349744
2023-05-08,-0.0010549186601818907
2023-05-09,-0.0021435899245733107
2023-05-10,-0.0007956783942268818
2023-05-11,-0.00028573194316404297
2023-05-12,0.002827605826981139
2023-05-15,-0.0011806800626757118
2023-05-16,0.00258017307909138
2023-05-17,0.0016113077744969568
2023-05-18,0.0034074897818652528
2023-05-19,-0.00036487339133664526
2023-05-22,-0.0002227749127728989
2023-05-23,-6.656213668830566e-05
2023-05-24,0.0
2023-05-25,0.0
2023-05-26,2.9450965764080792e-05
2023-05-30,0.001723339262504601
2023-05-31,-0.005905672576512384
2023-06-01,0.0025784244349213543
2023-06-02,-0.0004915417518783932
2023-06-05,-0.00526167108281245
2023-06-06,0.006291509416052939
2023-06-07,0.00136662196970928
2023-06-08,-0.0008922964643951117
2023-06-09,0.00366921328625241
2023-06-12,-0.001250526200959606
2023-06-13,-0.0006002223642510399
2023-06-14,-0.0036098732216680663
2023-06-15,-0.002980532738880023
2023-06-16,0.0022515025748329497
2023-06-20,0.005458434978293721
2023-06-21,-0.005402008732093155
2023-06-22,0.0033455470012749788
2023-06-23,0.001293020359323789
2023-06-26,-0.0027357345250287506
2023-06-27,0.004285658438630934
2023-06-28,-0.004301832679665224
2023-06-29,0.001691474314874389
2023-06-30,-0.007023365976962501
2023-07-03,-0.004340749973812976
2023-07-05,0.004652286883346041
2023-07-06,0.001929777844918458
2023-07-07,-0.0004649974488154221
2023-07-10,-0.004951203609114492
2023-07-11,0.006147303554786232
2023-07-12,0.0039186353481265946
2023-07-13,0.0043089252610640505
2023-07-14,0.0029314190216208676
2023-07-17,-0.00023262369858505975
2023-07-18,-0.002646057068975729
2023-07-19,0.0005702797344896747
2023-07-20,-0.0007426915126387647
2023-07-21,0.0017758646492345585
2023-07-24,0.0013030636194345919
2023-07-25,0.000625059212456037
2023-07-26,0.0006002159878973349
2023-07-27,-0.0012482206228367596
2023-07-28,-0.0011463880225671256
2023-07-31,-0.0003405226390285441
2023-08-01,-0.00019868594500273832
2023-08-02,0.00023370702720502154
2023-08-03,0.0010933521234928686
2023-08-04,0.0010713534952721286
2023-08-07,0.00023507036606267744
2023-08-08,0.00016522654115098945
2023-08-09,0.0005664489817349562
2023-08-10,-3.579994997136671e-05
2023-08-11,-1.620101570326809e-05
2023-08-14,-7.80829435832881e-05
2023-08-15,0.0002400701270626445
2023-08-16,0.0002718557186207391
2023-08-17,0.0009458294454492743
2023-08-18,0.001154812443736866
2023-08-21,-9.508661910834492e-05
2023-08-22,0.00047855625522219715
2023-08-23,-5.999462864974313e-05
2023-08-24,0.000645855830992989
2023-08-25,0.0010279064808514544
2023-08-28,0.000403089393478022
2023-08-29,-0.0008428987621449652
2023-08-30,-0.000658355837236022
2023-08-31,0.0007573168116100569
2023-09-01,0.0005287737856780726
